,input,target,out_text,new_out_np,new_out
100,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",0,[0.85318035 0.14681971],0,2
101,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,2,[0.99880517 0.00119488],0,2
102,$AMZN Going thru the roof needs a sell!,0,[0.9987864  0.00121367],0,2
103,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",2,[9.9948174e-01 5.1829213e-04],0,2
104,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0,[0.99588215 0.00411792],0,2
105,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0,[0.00286158 0.9971384 ],1,0
106,British American Tobacco first-half sales hurt by currency moves,2,[9.9952161e-01 4.7842565e-04],0,2
107,"Went long on this $COG, will see 70's again me thinks",0,[0.9779888  0.02201123],0,2
108,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0,[0.263552 0.736448],1,0
109,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0,[0.75680715 0.2431928 ],0,2
110,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0,[0.97869223 0.0213077 ],0,2
111,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,2,[0.99803144 0.00196849],0,2
112,CompaniesDiageo stays neutral on India boardroom turmoil,1,[0.9843062  0.01569379],0,2
113,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,0,[0.00888167 0.99111825],1,0
114,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,1,[0.9976769  0.00232316],0,2
115,US sanctions put Gazprom-Shell alliance plans in jeopardy,2,[9.993575e-01 6.424304e-04],0,2
116,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",2,[0.99428093 0.00571913],0,2
117,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,0,[0.94018847 0.05981148],0,2
118,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,1,[9.9940228e-01 5.9766934e-04],0,2
119,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",1,[0.9981933  0.00180669],0,2
120,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,2,[0.99611557 0.00388448],0,2
121,$TSLA weakest in todays DT watchlist,2,[9.9977034e-01 2.2960827e-04],0,2
122,Should You Follow Berkshire Hathaway Into Apple Stock?,1,[0.99737346 0.00262655],0,2
123,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,1,[9.9966657e-01 3.3339157e-04],0,2
124,Tesco share price steady as analysts weigh in on results,1,[0.00978388 0.99021614],1,0
125,$tsla bad day to short,0,[9.9972087e-01 2.7911883e-04],0,2
126,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,1,[0.99101454 0.00898543],0,2
127,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",1,[0.7342148 0.2657852],0,2
128,$ELN longs...congrats...another HOD,0,[0.6217562  0.37824374],0,2
129,Glencore blames rivals for creating metals glut,2,[0.99889046 0.0011095 ],0,2
130,Barclays poised to replace Sir Mike Rake as he heads for exit,1,[0.9744105  0.02558955],0,2
131,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,0,[0.9986303  0.00136969],0,2
132,BG Group appoints new CEO one month early,1,[0.04292234 0.9570777 ],1,0
133,$mako hanging in well today. still in a basing pattern. have eyes on it,0,[0.00419064 0.9958093 ],1,0
134,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",2,[9.994673e-01 5.326520e-04],0,2
135,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0,[0.96753323 0.03246681],0,2
136,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,0,[0.00313584 0.99686414],1,0
137,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0,[0.9965837  0.00341628],0,2
138,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,0,[0.9787533 0.0212467],0,2
139,Arm slammed by handset sales outlook,2,[9.9960107e-01 3.9899134e-04],0,2
140,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",2,[0.03461884 0.96538115],1,0
141,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,0,[0.81405276 0.18594718],0,2
142,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,2,[9.9975652e-01 2.4346045e-04],0,2
143,AstraZeneca's patent on asthma drug invalidated by US court,2,[0.9982658  0.00173421],0,2
144,$PRGN A bottom right here?,1,[9.9940693e-01 5.9302099e-04],0,2
145,Intertek swings to ÃÂ£347 mln loss on oil's slump,2,[9.9939764e-01 6.0235412e-04],0,2
146,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,1,[0.98866826 0.01133175],0,2
147,Barclays appoints JPMorgan's Paul Compton as new COO,1,[0.00814046 0.9918595 ],1,0
148,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,1,[0.99687636 0.00312365],0,2
149,Tullow Oil Suspends Dividend Amid Oil Price Fall,2,[0.9978719  0.00212811],0,2
