,text,target,out_text,new_out
65,yahoo answers can be a butt sometimes,0,[0.02581494 0.9270506  0.04713446],2
72,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,0,[0.9897423  0.00874037 0.00151737],0
78,needs someone to explain lambda calculus to him! :(,0,[0.00142621 0.9961022  0.0024715 ],2
79,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,0,[0.9933588  0.00529993 0.00134134],0
81,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0,[0.00112578 0.9978331  0.00104118],2
86,Damn you North Korea. http://bit.ly/KtMeQ,0,[0.9941321  0.00467168 0.00119628],0
87,Can we just go ahead and blow North Korea off the map already?,0,[0.34485966 0.44310594 0.21203436],2
88,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0,[9.9498391e-01 4.0464653e-03 9.6960430e-04],0
89,Why the hell is Pelosi in freakin China? and on whose dime?,0,[0.0207798  0.9770786  0.00214153],2
90,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0,[0.24274537 0.72612065 0.03113405],2
91,insects have infected my spinach plant :(,0,[0.9722201  0.02550711 0.00227275],0
92,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0,[0.9915159  0.00735893 0.00112523],0
93,"just got back from church, and I totally hate insects.",0,[9.9559432e-01 3.4430155e-03 9.6264906e-04],0
94,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,0,[9.9525189e-01 3.7801124e-03 9.6797309e-04],0
96,History exam studying ugh,0,[0.0224355  0.9751754  0.00238906],2
97,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0,[0.99533904 0.00366413 0.00099684],0
98,"Higher physics exam tommorow, not lookin forward to it much :(",0,[0.7860982  0.1924771  0.02142466],0
99,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0,[9.9478596e-01 4.2274124e-03 9.8660251e-04],0
100,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,[0.9127859  0.08392854 0.0032856 ],0
101,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,0,[0.9952846  0.00363542 0.00107989],0
102,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0,[0.99439937 0.00449392 0.00110667],0
103,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",0,[0.9939964  0.00486661 0.00113689],0
104,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,0,[0.9925397  0.00625189 0.00120844],0
105,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0,[0.99425584 0.00462686 0.00111737],0
123,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,0,[0.99152315 0.00721665 0.0012602 ],0
136,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0,[0.00347559 0.03471873 0.96180576],4
138,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,0,[0.9563144  0.0377379  0.00594772],0
139,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,0,[0.15059794 0.8045417  0.04486034],2
140,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,0,[0.00275643 0.98905444 0.0081891 ],2
141,Time Warner cable is down again 3rd time since Memorial Day bummer!,0,[0.97129685 0.02441111 0.00429202],0
142,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",0,[0.95954335 0.03265789 0.0077987 ],0
10,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,2,[0.00163921 0.9966192  0.00174152],2
30,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,2,[0.00160862 0.9934268  0.0049646 ],2
31,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,2,[0.00190723 0.9937737  0.00431904],2
45,is in San Francisco at Bay to Breakers.,2,[0.00119714 0.9967961  0.00200679],2
46,just landed at San Francisco,2,[0.00110928 0.9967399  0.00215075],2
47,San Francisco today.  Any suggestions?,2,[9.8505465e-04 9.9711251e-01 1.9024544e-03],2
52,On my way to see Star Trek @ The Esquire.,2,[0.00128189 0.99683833 0.00187977],2
53,Going to see star trek soon with my dad.,2,[7.8203779e-04 9.9484336e-01 4.3746545e-03],2
55,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,2,[0.00145904 0.99737084 0.00117008],2
61,playing with cURL and the Twitter API,2,[9.6841459e-04 9.9765247e-01 1.3790855e-03],2
63,playing with Java and the Twitter API,2,[0.00108781 0.9967319  0.00218034],2
69,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",2,[0.00127735 0.9971909  0.00153177],2
70,"'Next time, I'll call myself Nike'",2,[0.00163591 0.9965569  0.00180725],2
71,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,2,[0.00545565 0.9930219  0.00152239],2
75,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",2,[8.8036404e-04 9.9608266e-01 3.0369735e-03],2
76,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",2,[0.02129933 0.33334038 0.64536023],4
83,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",2,[9.7942492e-04 9.9724007e-01 1.7804507e-03],2
84,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,2,[0.00160762 0.99669445 0.00169799],2
107,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,2,[7.9970679e-04 9.9764365e-01 1.5566024e-03],2
117,At GWT fireside chat @googleio,2,[0.00194697 0.9968058  0.00124728],2
120,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",2,[8.7032933e-04 9.9633658e-01 2.7930439e-03],2
122,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",2,[0.00120471 0.9972363  0.00155901],2
126,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,2,[0.12247564 0.81798005 0.05954431],2
128,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,2,[8.1531174e-04 9.9743831e-01 1.7463608e-03],2
129,Going to see night at the museum 2 with tall boy,2,[0.00163314 0.98906016 0.00930675],2
134,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,2,[0.00255654 0.04543208 0.95201135],4
135,Taking Katie to see Night at the Museum.  (she picked it),2,[0.00249474 0.9584858  0.03901947],2
137,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,2,[7.9633883e-04 9.9733031e-01 1.8733687e-03],2
153,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),2,[0.9813291  0.01642124 0.00224967],0
155,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3",2,[9.1785041e-04 9.9676347e-01 2.3187702e-03],2
156,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n",2,[7.346586e-04 9.909677e-01 8.297606e-03],2
157,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,2,[0.00130449 0.9967334  0.0019621 ],2
158,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",2,[0.00184676 0.40705186 0.59110135],4
159,http://xi.gs/04FO GM CEO: China will continue to be key partner,2,[0.00131626 0.19213434 0.8065494 ],4
160,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,2,[0.684251   0.3120516  0.00369737],0
163,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,2,[7.1236712e-04 7.8863623e-03 9.9140126e-01],4
166,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,2,[0.00384641 0.9902136  0.00594   ],2
171,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,2,[0.0015674  0.99674773 0.00168486],2
172,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,2,[0.0012672 0.9970276 0.0017052],2
173,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,2,[0.00154262 0.994495   0.00396238],2
174,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796,2,[0.00120717 0.9973224  0.00147041],2
175,waiting in line at safeway.,2,[7.0561812e-04 9.9747306e-01 1.8213192e-03],2
177,Did not realize there is a gym above Safeway!,2,[0.00312745 0.99225944 0.00461306],2
178,"@XPhile1908 I have three words for you: ""Safeway dot com""",2,[0.00110324 0.01913041 0.97976637],4
180,Bout to hit safeway I gotta eat,2,[0.00166969 0.99163556 0.00669465],2
181,Jake's going to safeway!,2,[0.00662054 0.9375797  0.0557997 ],2
182,Found a safeway. Picking up a few staples.,2,[8.0899178e-04 9.9552262e-01 3.6683877e-03],2
183,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w,2,[0.00305548 0.4141039  0.5828406 ],4
186,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O,2,[7.1117096e-04 9.9749917e-01 1.7896305e-03],2
187,Is Eating and Watching Movies....,2,[0.00129742 0.99715877 0.00154374],2
0,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",4,[4.3901792e-04 3.9590485e-03 9.9560189e-01],4
1,Reading my kindle2...  Love it... Lee childs is good read.,4,[5.0520751e-04 4.0879124e-03 9.9540687e-01],4
2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",4,[0.10117843 0.8409745  0.05784711],2
3,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),4,[6.5355730e-04 6.2311301e-03 9.9311537e-01],4
4,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),4,[6.2103977e-04 6.5157725e-03 9.9286324e-01],4
5,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,4,[0.00238454 0.00895533 0.9886601 ],4
7,Jquery is my new best friend.,4,[0.00794622 0.04997702 0.9420768 ],4
8,Loves twitter,4,[5.338505e-04 3.602184e-03 9.958639e-01],4
9,how can you not love Obama? he makes jokes about himself.,4,[0.96072614 0.03636182 0.00291206],0
12,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",4,[0.00408277 0.0085342  0.98738307],4
13,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,4,[0.28280282 0.47441566 0.24278152],2
15,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",4,[0.0280413  0.04878337 0.92317533],4
17,i love lebron. http://bit.ly/PdHur,4,[8.8143832e-04 5.7085431e-03 9.9341005e-01],4
19,@Pmillzz lebron IS THE BOSS,4,[0.00563471 0.96253586 0.03182944],2
20,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",4,[0.00280234 0.0226089  0.97458875],4
21,lebron and zydrunas are such an awesome duo,4,[4.7254309e-04 2.6074727e-03 9.9691999e-01],4
22,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,4,[0.001211   0.00414909 0.99463993],4
23,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,4,[4.752718e-04 2.705778e-03 9.968189e-01],4
24,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",4,[0.01181479 0.95988446 0.02830072],2
25,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),4,[0.00342612 0.03164481 0.96492904],4
26,In montreal for a long weekend of R&amp;R. Much needed.,4,[0.03490453 0.0692805  0.8958149 ],4
27,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,4,[0.01237829 0.96997696 0.01764472],2
28,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,4,[0.01431009 0.44343817 0.5422517 ],4
29,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",4,[0.00385217 0.02363199 0.9725159 ],4
32,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",4,[0.00729988 0.04404539 0.9486548 ],4
38,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,4,[0.1950233  0.7898165  0.01516023],2
39,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",4,[0.00132465 0.01958959 0.97908574],4
40,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",4,[7.3037215e-04 2.4708172e-03 9.9679875e-01],4
41,is going to sleep then on a bike ride:],4,[0.00181289 0.99577135 0.00241581],2
51,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,4,[3.8553617e-04 3.0622357e-03 9.9655223e-01],4
56,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,4,[0.00125396 0.00827324 0.99047273],4
57,Blink by malcolm gladwell amazing book and The tipping point!,4,[0.00438714 0.01435681 0.98125607],4
58,Malcolm Gladwell might be my new man crush,4,[0.00390943 0.01680033 0.97929025],4
60,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,4,[0.00111745 0.01229264 0.9865899 ],4
62,Hello Twitter API ;),4,[0.00105509 0.9974366  0.0015084 ],2
66,is scrapbooking with Nic =D,4,[0.6802562  0.3166576  0.00308627],0
67,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,4,[0.06389271 0.81334114 0.12276617],2
68,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,4,[7.1153394e-04 5.1710010e-03 9.9411750e-01],4
73,Back when I worked for Nike we had one fav word : JUST DO IT! :),4,[0.00117266 0.00703761 0.9917897 ],4
74,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",4,[0.00216441 0.01031576 0.98751986],4
77,Class... The 50d is supposed to come today :),4,[0.00936556 0.98467547 0.00595893],2
80,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,4,[0.02044145 0.74709886 0.23245974],2
82,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,4,[3.7907151e-04 2.4028348e-03 9.9721813e-01],4
85,@ work til 6pm... lets go lakers!!!,4,[0.01645713 0.9620996  0.02144319],2
95,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],4,[0.93273103 0.06027148 0.0069974 ],0
106,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",4,[4.3536309e-04 2.5622505e-03 9.9700242e-01],4
108,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",4,[7.9365593e-04 3.2928262e-03 9.9591345e-01],4
109,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,4,[0.00466696 0.02046132 0.9748717 ],4
110,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",4,[0.00101758 0.00452941 0.994453  ],4
111,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,4,[0.00224052 0.00502941 0.9927301 ],4
