,text,target,out_text,new_out
100,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,[0.8768455  0.12315456],0
101,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,0,[0.9960622  0.00393774],0
102,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0,[0.99808455 0.0019155 ],0
103,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",0,[0.98965186 0.01034814],0
104,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,0,[9.9976951e-01 2.3050672e-04],0
105,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0,[9.9932015e-01 6.7984289e-04],0
123,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,0,[9.9978346e-01 2.1654405e-04],0
136,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0,[0.88710684 0.11289318],0
138,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,0,[9.9972135e-01 2.7857436e-04],0
139,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,0,[9.991880e-01 8.119704e-04],0
140,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,0,[0.9982351  0.00176491],0
141,Time Warner cable is down again 3rd time since Memorial Day bummer!,0,[0.99010193 0.00989806],0
142,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",0,[9.9968255e-01 3.1750882e-04],0
143,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,0,[9.9941957e-01 5.8042357e-04],0
144,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,0,[0.99776566 0.00223436],0
145,time warner has the worse customer service ever. I will never use them again,0,[9.9972361e-01 2.7640708e-04],0
146,Time warner is the devil. Worst possible time for the Internet to go out.,0,[9.9978846e-01 2.1152887e-04],0
147,Fuck no internet damn time warner!,0,[0.9985018  0.00149826],0
148,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,0,[9.997023e-01 2.976958e-04],0
149,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,0,[0.9987005  0.00129943],0
150,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :),0,[0.01133175 0.98866826],4
151,Time Warner's HD line up is crap.,0,[9.9980289e-01 1.9716944e-04],0
152,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,0,[9.9929583e-01 7.0415152e-04],0
154,Time Warner Cable slogan: Where calling it a day at 2pm Happens.,0,[0.99528164 0.00471837],0
161,Recovering from surgery..wishing @julesrenner was here :(,0,[0.9746528  0.02534718],0
164,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!",0,[0.99807703 0.00192298],0
165,@kirstiealley my dentist is great but she's expensive...=(,0,[0.5710342  0.42896584],0
168,my dentist was wrong... WRONG,0,[9.9948967e-01 5.1026081e-04],0
169,Going to the dentist later.:|,0,[0.99522626 0.00477372],0
170,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,0,[0.99877924 0.0012208 ],0
176,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?,0,[0.99609274 0.00390721],0
184,The safeway bathroom still smells like ass!,0,[0.9922144  0.00778565],0
185,"At safeway on elkhorn, they move like they're dead!",0,[0.96926606 0.03073393],0
192,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,0,[9.9942964e-01 5.7031563e-04],0
210,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.,0,[0.84006226 0.15993774],0
211,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!,0,[0.99895155 0.00104847],0
212,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :),0,[0.9989371  0.00106289],0
213,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.,0,[0.99832565 0.0016744 ],0
0,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",4,[3.4531672e-04 9.9965465e-01],4
1,Reading my kindle2...  Love it... Lee childs is good read.,4,[1.2731104e-04 9.9987268e-01],4
2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",4,[0.10475175 0.8952483 ],4
3,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),4,[2.8351307e-04 9.9971646e-01],4
4,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),4,[3.8371203e-04 9.9961627e-01],4
5,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,4,[0.02106469 0.9789353 ],4
7,Jquery is my new best friend.,4,[3.263076e-04 9.996737e-01],4
8,Loves twitter,4,[6.1662967e-04 9.9938333e-01],4
9,how can you not love Obama? he makes jokes about himself.,4,[0.03594832 0.96405166],4
12,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",4,[9.584648e-04 9.990415e-01],4
13,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,4,[0.00871138 0.99128854],4
15,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",4,[0.01345415 0.9865458 ],4
17,i love lebron. http://bit.ly/PdHur,4,[5.033356e-04 9.994967e-01],4
19,@Pmillzz lebron IS THE BOSS,4,[0.05728198 0.9427181 ],4
20,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",4,[0.02052779 0.97947216],4
21,lebron and zydrunas are such an awesome duo,4,[1.2436225e-04 9.9987566e-01],4
22,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,4,[0.99816847 0.00183151],0
23,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,4,[0.90574    0.09426001],0
24,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",4,[0.01141962 0.9885804 ],4
25,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),4,[0.01630877 0.9836912 ],4
26,In montreal for a long weekend of R&amp;R. Much needed.,4,[0.88671505 0.11328497],0
27,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,4,[0.9959927  0.00400729],0
28,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,4,[0.33917066 0.66082937],4
29,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",4,[0.99801993 0.00198004],0
32,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",4,[6.3495064e-04 9.9936503e-01],4
38,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,4,[0.99379504 0.00620502],0
39,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",4,[0.00687711 0.9931229 ],4
40,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",4,[1.3711804e-04 9.9986291e-01],4
41,is going to sleep then on a bike ride:],4,[0.9980994  0.00190062],0
51,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,4,[2.4826112e-04 9.9975175e-01],4
56,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,4,[4.3990326e-04 9.9956006e-01],4
57,Blink by malcolm gladwell amazing book and The tipping point!,4,[1.7400544e-04 9.9982601e-01],4
58,Malcolm Gladwell might be my new man crush,4,[0.99040353 0.00959645],0
60,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,4,[0.00331797 0.996682  ],4
62,Hello Twitter API ;),4,[0.01191502 0.988085  ],4
66,is scrapbooking with Nic =D,4,[0.9971661  0.00283385],0
67,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,4,[0.13488983 0.86511016],4
68,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,4,[6.436856e-04 9.993563e-01],4
73,Back when I worked for Nike we had one fav word : JUST DO IT! :),4,[0.9854264  0.01457354],0
74,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",4,[0.01912404 0.98087597],4
77,Class... The 50d is supposed to come today :),4,[0.24816959 0.7518304 ],4
80,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,4,[0.13056232 0.8694377 ],4
82,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,4,[2.1995336e-04 9.9978000e-01],4
85,@ work til 6pm... lets go lakers!!!,4,[0.04142348 0.95857656],4
95,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],4,[0.99575186 0.00424808],0
106,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",4,[0.00169741 0.9983026 ],4
108,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",4,[0.00545866 0.99454135],4
109,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,4,[6.6800485e-04 9.9933201e-01],4
110,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",4,[2.123566e-04 9.997876e-01],4
111,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,4,[0.00147219 0.99852777],4
112,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,4,[0.02517884 0.97482115],4
113,zomg!!! I have a G2!!!!!!!,4,[0.75036985 0.24963012],0
114,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,4,[0.00876213 0.9912378 ],4
115,just got a free G2 android at google i/o!!!,4,[0.9859904  0.01400957],0
116,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,4,[9.9915075e-01 8.4924564e-04],0
118,I am happy for Philip being at GoogleIO today,4,[1.760562e-04 9.998240e-01],4
119,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,4,[0.0037801  0.99621993],4
121,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,4,[0.9986904  0.00130961],0
124,watching Night at The Museum . Lmao,4,[0.08953419 0.91046584],4
125,i loved night at the museum!!!,4,[2.2341634e-04 9.9977654e-01],4
127,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,4,[1.802305e-04 9.998198e-01],4
130,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,4,[2.1152887e-04 9.9978846e-01],4
131,no watching The Night At The Museum. Getting Really Good,4,[0.00338319 0.9966168 ],4
132,"Night at the Museum, Wolverine and junk food - perfect monday!",4,[0.0708162 0.9291838],4
133,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,4,[1.2830943e-04 9.9987173e-01],4
162,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!",4,[0.9975656  0.00243438],0
167,is studing math ;) tomorrow exam and dentist :),4,[0.9925827  0.00741738],0
179,Safeway is very rock n roll tonight,4,[5.431520e-04 9.994568e-01],4
191,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.,4,[0.9609151  0.03908496],0
194,is lovin his Nike  already and that's only from running on the spot in his bedroom,4,[0.9854124  0.01458757],0
196,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.,4,[0.9861247  0.01387531],0
202,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",4,[0.00155785 0.9984421 ],4
203,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",4,[0.9885583  0.01144168],0
205,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",4,[8.0251833e-04 9.9919754e-01],4
206,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",4,[0.00781589 0.9921841 ],4
