,input,output,instruction,context,target,out_text,new_out
42,cant sleep... my tooth is aching.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: cant sleep... my tooth is aching.
Answer: ",0,{negative}<|endoftext|>,0
43,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Blah, blah, blah same old same old. No plans today, going back to sleep I guess.
Answer: ",0,{negative}<|endoftext|>,0
44,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf
Answer: ",0,{negative}<|endoftext|>,0
48,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: ?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
Answer: ",0,{negative}<|endoftext|>,0
49,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
Answer: ",0,{negative}<|endoftext|>,0
50,ShaunWoo hate'n on AiG,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: ShaunWoo hate'n on AiG
Answer: ",0,{negative}<|endoftext|>,0
54,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
59,omg. The commercials alone on ESPN are going to drive me nuts.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: omg. The commercials alone on ESPN are going to drive me nuts.
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
64,@morind45 Because the twitter api is slow and most client's aren't good.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @morind45 Because the twitter api is slow and most client's aren't good.
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
65,yahoo answers can be a butt sometimes,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: yahoo answers can be a butt sometimes
Answer: ",0,"-1
The sentiment of this twitter is negative.<|endoftext|>",0
72,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
78,needs someone to explain lambda calculus to him! :(,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: needs someone to explain lambda calculus to him! :(
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
79,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
81,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.
Answer: ",0,{negative}<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
86,Damn you North Korea. http://bit.ly/KtMeQ,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Damn you North Korea. http://bit.ly/KtMeQ
Answer: ",0,{negative}<|endoftext|>,0
87,Can we just go ahead and blow North Korea off the map already?,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Can we just go ahead and blow North Korea off the map already?
Answer: ",0,{negative}<|endoftext|>,0
88,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl
Answer: ",0,{negative}<|endoftext|>,0
89,Why the hell is Pelosi in freakin China? and on whose dime?,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Why the hell is Pelosi in freakin China? and on whose dime?
Answer: ",0,{negative}<|endoftext|>,0
90,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!
Answer: ",0,{negative}<|endoftext|>,0
91,insects have infected my spinach plant :(,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: insects have infected my spinach plant :(
Answer: ",0,{negative}<|endoftext|>,0
92,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
Answer: ",0,{negative}<|endoftext|>,0
93,"just got back from church, and I totally hate insects.",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: just got back from church, and I totally hate insects.
Answer: ",0,{negative}<|endoftext|>,0
94,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
Answer: ",0,{negative}<|endoftext|>,0
96,History exam studying ugh,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: History exam studying ugh
Answer: ",0,{negative}<|endoftext|>,0
97,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...
Answer: ",0,{negative}<|endoftext|>,0
98,"Higher physics exam tommorow, not lookin forward to it much :(",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Higher physics exam tommorow, not lookin forward to it much :(
Answer: ",0,{negative}<|endoftext|>,0
99,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: It's a bank holiday, yet I'm only out of work now. Exam season sucks:(
Answer: ",0,{negative}<|endoftext|>,0
100,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Cheney and Bush are the real culprits - http://fwix.com/article/939496
Answer: ",0,{negative}<|endoftext|>,0
101,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
Answer: ",0,{negative}<|endoftext|>,0
102,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg
Answer: ",0,{negative}<|endoftext|>,0
103,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: ""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)
Answer: ",0,{negative}<|endoftext|>,0
104,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: is Twitter's connections API broken? Some tweets didn't make it to Twitter...
Answer: ",0,{neutral}<|endoftext|>,2
105,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(
Answer: ",0,{negative}<|endoftext|>,0
123,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
Answer: ",0,{negative}<|endoftext|>,0
136,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
Answer: ",0,{negative}<|endoftext|>,0
138,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
Answer: ",0,{negative}<|endoftext|>,0
139,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
Answer: ",0,{negative}<|endoftext|>,0
140,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @jdreiss oh yes but if GM dies it will only be worth more boo hahaha
Answer: ",0,{negative}<|endoftext|>,0
141,Time Warner cable is down again 3rd time since Memorial Day bummer!,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Time Warner cable is down again 3rd time since Memorial Day bummer!
Answer: ",0,{negative}<|endoftext|>,0
142,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.
Answer: ",0,{positive}<|endoftext|>,4
10,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
Answer: ",2,{positive}<|endoftext|>,4
30,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: need suggestions for a good IR filter for my canon 40D ... got some? pls DM
Answer: ",2,{positive}<|endoftext|>,4
31,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
Answer: ",2,{positive}<|endoftext|>,4
45,is in San Francisco at Bay to Breakers.,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: is in San Francisco at Bay to Breakers.
Answer: ",2,{positive}<|endoftext|>,4
46,just landed at San Francisco,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: just landed at San Francisco
Answer: ",2,{positive}<|endoftext|>,4
47,San Francisco today.  Any suggestions?,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: San Francisco today.  Any suggestions?
Answer: ",2,{positive}<|endoftext|>,4
52,On my way to see Star Trek @ The Esquire.,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: On my way to see Star Trek @ The Esquire.
Answer: ",2,{positive}<|endoftext|>,4
53,Going to see star trek soon with my dad.,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Going to see star trek soon with my dad.
Answer: ",2,{positive}<|endoftext|>,4
55,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
Answer: ",2,{positive}<|endoftext|>,4
61,playing with cURL and the Twitter API,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: playing with cURL and the Twitter API
Answer: ",2,{positive}<|endoftext|>,4
63,playing with Java and the Twitter API,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: playing with Java and the Twitter API
Answer: ",2,{positive}<|endoftext|>,4
69,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding
Answer: ",2,{positive}<|endoftext|>,4
70,"'Next time, I'll call myself Nike'",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: 'Next time, I'll call myself Nike'
Answer: ",2,{positive}<|endoftext|>,4
71,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
Answer: ",2,{positive}<|endoftext|>,4
75,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.
Answer: ",2,{positive}<|endoftext|>,4
76,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t
Answer: ",2,{positive}<|endoftext|>,4
83,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9
Answer: ",2,{positive}<|endoftext|>,4
84,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
Answer: ",2,{positive}<|endoftext|>,4
107,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
Answer: ",2,{positive}<|endoftext|>,4
117,At GWT fireside chat @googleio,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: At GWT fireside chat @googleio
Answer: ",2,{positive}<|endoftext|>,4
120,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8
Answer: ",2,{positive}<|endoftext|>,4
122,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz
Answer: ",2,{positive}<|endoftext|>,4
126,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
Answer: ",2,{negative}<|endoftext|>,0
128,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Just saw the new Night at the Museum movie...it was...okay...lol 7\10
Answer: ",2,{neutral}<|endoftext|>,2
129,Going to see night at the museum 2 with tall boy,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Going to see night at the museum 2 with tall boy
Answer: ",2,{positive}<|endoftext|>,4
134,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
Answer: ",2,{neutral}<|endoftext|>,2
135,Taking Katie to see Night at the Museum.  (she picked it),2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Taking Katie to see Night at the Museum.  (she picked it)
Answer: ",2,{positive}<|endoftext|>,4
137,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,2,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
Answer: ",2,{positive}<|endoftext|>,4
