,text,target,out_text,new_out
57,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",2,[0.99361163 0.00638832],2
58,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,2,[9.9967813e-01 3.2187812e-04],2
59,"BHP Billiton posts big loss, slashes dividend",2,[0.99749833 0.0025017 ],2
63,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,2,[0.9963642  0.00363581],2
64,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0,[0.99038494 0.00961504],2
65,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0,[0.9979652  0.00203482],2
66,New Credit Suisse boss faces stiff challenge in Asia,2,[0.99379504 0.00620502],2
67,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,0,[0.9967078  0.00329224],2
69,"Royal Mail, Johnson Matthey lead FTSE lower",2,[9.9966073e-01 3.3930180e-04],2
71,$DMND green and moving,0,[0.02380266 0.9761973 ],0
72,$REN bottoming out again.. Good time to buy,0,[5.452766e-04 9.994547e-01],0
73,Breakingviews: IAG can pay more for Aer Lingus,0,[0.9922294  0.00777058],2
75,$BBRY hearing rumours of a major joint venture announcement.,0,[0.98886347 0.0111365 ],2
76,$PCLN runs into the 50sma on the acquisition news,0,[0.9974491  0.00255091],2
78,$CTRP breaking out https://t.co/Z2je3rTKch,0,[0.9967206  0.00327944],2
79,Do it for me' trend underpins UK sales growth at Kingfisher,0,[0.00328583 0.99671423],0
81,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,2,[0.9983612  0.00163887],2
83,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0,[5.4740964e-04 9.9945253e-01],0
84,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",2,[9.9973518e-01 2.6478485e-04],2
89,Deutsche Bank cuts $SBUX,2,[0.99731135 0.00268867],2
94,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",2,[0.9987331  0.00126689],2
96,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0,[0.39392948 0.60607046],0
99,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,2,[0.13718534 0.86281466],0
100,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",0,[0.83134854 0.16865148],2
101,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,2,[0.9988213  0.00117867],2
102,$AMZN Going thru the roof needs a sell!,0,[0.99885535 0.00114468],2
103,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",2,[9.994967e-01 5.033356e-04],2
104,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0,[0.99576014 0.00423983],2
105,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0,[0.00304557 0.99695444],0
106,British American Tobacco first-half sales hurt by currency moves,2,[9.9953079e-01 4.6917636e-04],2
107,"Went long on this $COG, will see 70's again me thinks",0,[0.9769787  0.02302126],2
108,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0,[0.2616138 0.7383862],0
109,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0,[0.80555576 0.19444428],2
110,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0,[0.9789755  0.02102446],2
111,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,2,[0.9980276  0.00197234],2
113,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,0,[0.00916103 0.99083894],0
115,US sanctions put Gazprom-Shell alliance plans in jeopardy,2,[9.9933201e-01 6.6800485e-04],2
116,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",2,[0.9943581  0.00564191],2
117,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,0,[0.9360516  0.06394842],2
120,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,2,[0.9959771  0.00402291],2
121,$TSLA weakest in todays DT watchlist,2,[9.9977082e-01 2.2916035e-04],2
125,$tsla bad day to short,0,[9.997187e-01 2.813074e-04],2
128,$ELN longs...congrats...another HOD,0,[0.6940954  0.30590466],2
129,Glencore blames rivals for creating metals glut,2,[0.9988508  0.00114916],2
131,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,0,[0.99866986 0.0013302 ],2
133,$mako hanging in well today. still in a basing pattern. have eyes on it,0,[0.00420697 0.995793  ],0
134,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",2,[9.995016e-01 4.984466e-04],2
135,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0,[0.96697646 0.03302355],2
136,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,0,[0.00314807 0.996852  ],0
137,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0,[0.9966299  0.00337005],2
138,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,0,[0.9778412  0.02215887],2
139,Arm slammed by handset sales outlook,2,[9.9960417e-01 3.9588756e-04],2
140,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",2,[0.03336831 0.9666317 ],0
141,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,0,[0.8407172  0.15928277],2
142,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,2,[9.9975699e-01 2.4298552e-04],2
143,AstraZeneca's patent on asthma drug invalidated by US court,2,[0.9983026  0.00169741],2
145,Intertek swings to ÃÂ£347 mln loss on oil's slump,2,[9.9936503e-01 6.3495064e-04],2
149,Tullow Oil Suspends Dividend Amid Oil Price Fall,2,[0.99782157 0.00217847],2
