,input,target,out_text,new_out
20,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0,[0.00489942 0.7695132  0.22558731],1
21,Whitbread boss Andy Harrison defends sales fall as 'just a blip',1,[0.00129175 0.06787526 0.930833  ],2
22,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0,[0.00100762 0.03707951 0.9619128 ],2
23,MillerCoors Board Names Gavin Hattersley Interim CEO,1,[0.00103106 0.05975667 0.93921226],2
24,$FB Nice buyable intraday dip right here,0,[1.3584988e-03 9.9823594e-01 4.0551228e-04],1
25,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0,[0.00979926 0.9850166  0.00518406],1
26,$DISH weakness continues again. 49.43 area resistance after last week,2,[0.00734042 0.98709166 0.00556796],1
27,GlaxoSmithKline starts hunt for successor to CEO Witty,1,[0.005691   0.9922937  0.00201537],1
28,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",2,[0.00417418 0.99480987 0.00101596],1
29,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,2,[0.00438063 0.9942583  0.00136104],1
30,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,1,[0.00382438 0.995175   0.00100058],1
31,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,2,[0.0092974  0.9832538  0.00744881],1
32,$BBRY Ready for Take OFF!,0,[4.6839057e-03 9.9478912e-01 5.2706152e-04],1
33,$ACAD under $2 today?,2,[0.00356788 0.9950885  0.00134368],1
34,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",0,[0.00547337 0.9923644  0.00216233],1
35,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0,[4.3449071e-03 9.9485612e-01 7.9903146e-04],1
36,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,1,[9.1495523e-03 9.9008125e-01 7.6922693e-04],1
37,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2,[0.01116702 0.9877077  0.00112529],1
38,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",0,[0.01250072 0.985327   0.0021723 ],1
39,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,1,[0.0177272  0.9792812  0.00299158],1
40,$GEVO PLUNGING!  Back to $3.55.,2,[0.0047078 0.9940215 0.0012708],1
41,AB InBev to sell more SAB assets as seeks EU deal approval,1,[0.00702946 0.9790996  0.01387096],1
42,"HSBC shakes up board with two new business chiefs, three departures",1,[0.01228207 0.97568524 0.01203275],1
43,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",2,[0.00671349 0.9857237  0.00756293],1
44,$RAD All my charts are flashing oversold.,1,[0.00470518 0.989597   0.00569775],1
45,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,2,[0.00271223 0.99627423 0.00101349],1
46,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,2,[0.00551692 0.99344444 0.00103862],1
47,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2,[0.00543144 0.99248475 0.00208381],1
48,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,2,[6.3541654e-04 9.9912220e-01 2.4235743e-04],1
49,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,0,[5.0807605e-04 9.9910539e-01 3.8652390e-04],1
50,@mugatushair Now it is time to short $TSLA,2,[1.8788431e-03 9.9731857e-01 8.0257520e-04],1
51,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",2,[7.4486155e-04 9.9886036e-01 3.9482111e-04],1
52,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",2,[1.0960447e-03 9.9840707e-01 4.9692922e-04],1
53,Legal & General share price: Finance chief to step down,2,[0.02291508 0.96020496 0.01688003],1
54,Valeant Said to Name New CEO With Pearson Still Hospitalized,1,[1.2973392e-03 9.9806982e-01 6.3289044e-04],1
55,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,2,[1.3436427e-03 9.9798274e-01 6.7364954e-04],1
56,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,0,[1.4222176e-03 9.9817467e-01 4.0311847e-04],1
57,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",2,[0.00361331 0.9940743  0.00231251],1
58,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,2,[0.00670021 0.99052304 0.00277675],1
59,"BHP Billiton posts big loss, slashes dividend",2,[0.00219316 0.9967338  0.00107304],1
60,Petrofac share price rises despite ÃÂ£30m costs on North Sea project,1,[0.00908483 0.983558   0.00735712],1
61,U.S. Debt Lures Schroders as ECB Depresses Rates,1,[0.00522099 0.9900989  0.00468007],1
62,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",1,[0.00366924 0.9938114  0.00251937],1
63,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,2,[1.3675053e-03 9.9800831e-01 6.2425801e-04],1
64,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0,[4.5808619e-03 9.9500376e-01 4.1540412e-04],1
65,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0,[6.9339150e-03 9.9256426e-01 5.0180079e-04],1
66,New Credit Suisse boss faces stiff challenge in Asia,2,[6.7894096e-03 9.9250025e-01 7.1037642e-04],1
67,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,0,[1.2158808e-02 9.8711085e-01 7.3037145e-04],1
68,Royal Mail turnaround proving expensive in tough UK market,1,[0.00585773 0.9928455  0.00129687],1
69,"Royal Mail, Johnson Matthey lead FTSE lower",2,[0.00593295 0.9919391  0.00212789],1
70,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,1,[0.00845048 0.9901888  0.00136077],1
71,$DMND green and moving,0,[4.602826e-03 9.949049e-01 4.922931e-04],1
72,$REN bottoming out again.. Good time to buy,0,[0.09621066 0.8962591  0.00753028],1
73,Breakingviews: IAG can pay more for Aer Lingus,0,[0.02660705 0.9351869  0.038206  ],1
74,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",1,[0.02844932 0.94211215 0.02943852],1
75,$BBRY hearing rumours of a major joint venture announcement.,0,[0.01544925 0.9539461  0.03060471],1
76,$PCLN runs into the 50sma on the acquisition news,0,[0.01223568 0.9815393  0.00622501],1
77,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,1,[0.01255916 0.9707864  0.01665444],1
78,$CTRP breaking out https://t.co/Z2je3rTKch,0,[0.01297023 0.96603864 0.02099118],1
79,Do it for me' trend underpins UK sales growth at Kingfisher,0,[0.0098252  0.9871415  0.00303332],1
80,CompaniesHoward Davies appointment as RBS director delayed,1,[5.8721803e-04 9.9738902e-01 2.0237365e-03],1
81,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,2,[8.3810923e-04 9.9572515e-01 3.4367489e-03],1
82,volatility squeeze in $AAPL. I hope it gets resolved to the upside,1,[0.00376291 0.9801373  0.01609978],1
83,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0,[8.1286876e-04 9.9444962e-01 4.7375010e-03],1
84,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",2,[6.4579427e-04 9.9482757e-01 4.5266910e-03],1
85,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",1,[8.6043484e-04 9.9662054e-01 2.5190990e-03],1
86,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",1,[6.3979940e-04 9.9721056e-01 2.1496683e-03],1
87,Rio Tinto CEO says iron ore market at equilibrium,1,[0.00171206 0.9913085  0.00697946],1
88,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1,[8.2682539e-04 9.9876344e-01 4.0970815e-04],1
89,Deutsche Bank cuts $SBUX,2,[0.01268438 0.9843029  0.0030128 ],1
90,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,1,[0.01419895 0.97999084 0.00581019],1
91,Johnson Matthey profit falls but dividend rises,1,[0.00379679 0.9947733  0.00142988],1
92,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,1,[1.5839016e-03 9.9745160e-01 9.6444489e-04],1
93,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,1,[0.00157573 0.9971643  0.00125997],1
94,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",2,[0.00330407 0.9954184  0.00127757],1
95,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",1,[1.3996345e-03 9.9779427e-01 8.0610067e-04],1
96,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0,[1.9385339e-03 9.9783140e-01 2.3005987e-04],1
97,Sanofi poaches AstraZeneca scientist as new research head,1,[2.271106e-03 9.974758e-01 2.530751e-04],1
98,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,1,[2.4587270e-03 9.9726331e-01 2.7788943e-04],1
99,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,2,[2.1233466e-03 9.9758482e-01 2.9188904e-04],1
100,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",0,[3.0940112e-03 9.9662113e-01 2.8485197e-04],1
101,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,2,[2.2261776e-03 9.9751425e-01 2.5959313e-04],1
102,$AMZN Going thru the roof needs a sell!,0,[0.01304163 0.9842473  0.00271108],1
103,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",2,[0.00534225 0.99349904 0.00115873],1
104,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0,[8.1090612e-04 9.9885333e-01 3.3573303e-04],1
105,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0,[1.0672685e-03 9.9816930e-01 7.6348759e-04],1
106,British American Tobacco first-half sales hurt by currency moves,2,[0.0026316  0.9963685  0.00099982],1
107,"Went long on this $COG, will see 70's again me thinks",0,[1.5871302e-03 9.9753463e-01 8.7821012e-04],1
108,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0,[7.374701e-04 9.986534e-01 6.090006e-04],1
109,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0,[7.9899310e-04 9.9870193e-01 4.9902149e-04],1
110,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0,[7.6975639e-04 9.9853337e-01 6.9677655e-04],1
111,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,2,[1.2730727e-03 9.9774325e-01 9.8375429e-04],1
112,CompaniesDiageo stays neutral on India boardroom turmoil,1,[8.5220067e-04 9.9871850e-01 4.2935117e-04],1
113,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,0,[2.0289009e-03 9.9700898e-01 9.6213585e-04],1
114,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,1,[0.0033803  0.9947944  0.00182532],1
115,US sanctions put Gazprom-Shell alliance plans in jeopardy,2,[0.00284185 0.99608374 0.00107444],1
116,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",2,[1.0981123e-03 9.9833882e-01 5.6305609e-04],1
117,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,0,[1.3409884e-03 9.9795854e-01 7.0046767e-04],1
118,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,1,[1.2035305e-03 9.9820876e-01 5.8770063e-04],1
119,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",1,[0.00129937 0.99768376 0.00101691],1
120,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,2,[0.00281774 0.00568643 0.99149585],2
121,$TSLA weakest in todays DT watchlist,2,[0.0031451  0.03346807 0.96338683],2
122,Should You Follow Berkshire Hathaway Into Apple Stock?,1,[0.01043016 0.7595965  0.2299733 ],1
123,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,1,[0.00797051 0.90875536 0.0832741 ],1
124,Tesco share price steady as analysts weigh in on results,1,[0.00403012 0.9784638  0.01750605],1
125,$tsla bad day to short,0,[0.01791329 0.96005297 0.02203373],1
126,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,1,[0.01027749 0.9800205  0.00970207],1
127,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",1,[0.00533974 0.9862678  0.0083924 ],1
128,$ELN longs...congrats...another HOD,0,[1.5784469e-03 9.9790704e-01 5.1445235e-04],1
129,Glencore blames rivals for creating metals glut,2,[0.00692548 0.9884566  0.00461787],1
130,Barclays poised to replace Sir Mike Rake as he heads for exit,1,[0.01438413 0.97738    0.00823595],1
131,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,0,[0.00569342 0.99077845 0.00352823],1
132,BG Group appoints new CEO one month early,1,[0.01067918 0.9841061  0.00521479],1
133,$mako hanging in well today. still in a basing pattern. have eyes on it,0,[0.00583619 0.9920969  0.00206678],1
134,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",2,[0.00286092 0.9959359  0.00120314],1
135,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0,[0.00434179 0.99414307 0.00151521],1
136,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,0,[9.9873000e-01 8.9398149e-04 3.7595676e-04],0
137,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0,[0.00548453 0.9914778  0.00303773],1
138,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,0,[0.00866554 0.9880001  0.00333435],1
139,Arm slammed by handset sales outlook,2,[0.00438376 0.9939972  0.00161901],1
140,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",2,[0.0072932  0.99133366 0.00137303],1
141,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,0,[0.00496756 0.99401927 0.00101317],1
142,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,2,[0.00608394 0.9916822  0.00223379],1
143,AstraZeneca's patent on asthma drug invalidated by US court,2,[0.01108402 0.98709065 0.00182539],1
144,$PRGN A bottom right here?,1,[5.2318710e-04 9.9911648e-01 3.6028386e-04],1
145,Intertek swings to ÃÂ£347 mln loss on oil's slump,2,[6.7943759e-04 9.9872440e-01 5.9609854e-04],1
146,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,1,[0.00324055 0.9955379  0.0012216 ],1
147,Barclays appoints JPMorgan's Paul Compton as new COO,1,[1.3766931e-03 9.9786890e-01 7.5436564e-04],1
148,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,1,[5.789791e-04 9.988814e-01 5.396678e-04],1
149,Tullow Oil Suspends Dividend Amid Oil Price Fall,2,[6.2965066e-04 9.9879599e-01 5.7442428e-04],1
