,input,target,out_text,new_out
82,volatility squeeze in $AAPL. I hope it gets resolved to the upside,1,[0.17680721 0.21771565 0.6054772 ],1
83,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0,[0.11752898 0.23363443 0.6488366 ],1
84,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",2,[0.1379494  0.27898878 0.5830618 ],1
85,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",1,[0.09756976 0.11178237 0.79064786],1
86,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",1,[0.06544632 0.09858295 0.8359707 ],1
87,Rio Tinto CEO says iron ore market at equilibrium,1,[0.09796693 0.1322157  0.7698174 ],1
88,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1,[0.0279042  0.06855956 0.9035362 ],1
89,Deutsche Bank cuts $SBUX,2,[0.16303426 0.2252756  0.6116902 ],1
90,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,1,[0.12814742 0.20106348 0.67078906],1
91,Johnson Matthey profit falls but dividend rises,1,[0.09064988 0.2114889  0.6978612 ],1
92,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,1,[0.08966818 0.14287017 0.7674617 ],1
93,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,1,[0.12063736 0.12873171 0.7506309 ],1
94,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",2,[0.09626251 0.19418283 0.7095547 ],1
95,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",1,[0.0641833  0.16376781 0.77204883],1
96,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0,[0.06274423 0.0127566  0.9244992 ],1
97,Sanofi poaches AstraZeneca scientist as new research head,1,[0.17666993 0.10836592 0.71496415],1
98,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,1,[0.11543237 0.05625724 0.8283104 ],1
99,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,2,[0.1499178  0.05879471 0.7912875 ],1
100,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",0,[0.12104408 0.04548556 0.83347034],1
101,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,2,[0.08135813 0.05161346 0.86702836],1
102,$AMZN Going thru the roof needs a sell!,0,[0.16574451 0.14810163 0.6861538 ],1
103,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",2,[0.09740872 0.08978094 0.8128103 ],1
104,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0,[0.72163373 0.03037285 0.24799348],0
105,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0,[0.31338584 0.15902962 0.52758455],1
106,British American Tobacco first-half sales hurt by currency moves,2,[0.2996038  0.31806153 0.38233468],1
107,"Went long on this $COG, will see 70's again me thinks",0,[0.2725998  0.37055862 0.35684156],2
108,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0,[0.24831657 0.25627717 0.4954063 ],1
109,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0,[0.29408637 0.15383233 0.5520813 ],1
110,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0,[0.31447574 0.13780944 0.54771477],1
111,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,2,[0.49117574 0.19767925 0.311145  ],0
112,CompaniesDiageo stays neutral on India boardroom turmoil,1,[0.03912179 0.10038999 0.86048824],1
113,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,0,[0.11395825 0.15159805 0.7344438 ],1
114,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,1,[0.10368887 0.33137807 0.56493306],1
115,US sanctions put Gazprom-Shell alliance plans in jeopardy,2,[0.07961459 0.2038248  0.71656066],1
116,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",2,[0.09454414 0.12421526 0.7812406 ],1
117,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,0,[0.10775237 0.23955567 0.6526919 ],1
118,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,1,[0.11819468 0.16305873 0.7187466 ],1
119,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",1,[0.09525874 0.1244837  0.7802575 ],1
120,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,2,[0.02259713 0.96461517 0.01278774],2
121,$TSLA weakest in todays DT watchlist,2,[0.16931847 0.33496708 0.49571446],1
122,Should You Follow Berkshire Hathaway Into Apple Stock?,1,[0.33936977 0.33382297 0.32680726],0
123,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,1,[0.22483364 0.1605637  0.6146026 ],1
124,Tesco share price steady as analysts weigh in on results,1,[0.14176768 0.4102184  0.44801396],1
125,$tsla bad day to short,0,[0.29747006 0.22478901 0.47774088],1
126,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,1,[0.18534584 0.19099605 0.6236581 ],1
127,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",1,[0.12291268 0.20413843 0.6729489 ],1
128,$ELN longs...congrats...another HOD,0,[0.8234296  0.02545509 0.15111534],0
129,Glencore blames rivals for creating metals glut,2,[0.5375324  0.18302017 0.27944744],0
130,Barclays poised to replace Sir Mike Rake as he heads for exit,1,[0.35305122 0.25653812 0.39041063],1
131,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,0,[0.4726542  0.20643692 0.3209088 ],0
132,BG Group appoints new CEO one month early,1,[0.5483323  0.14486855 0.30679905],0
133,$mako hanging in well today. still in a basing pattern. have eyes on it,0,[0.3311071  0.22110404 0.44778886],1
134,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",2,[0.3605305  0.1548258  0.48464367],1
135,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0,[0.41408023 0.193685   0.39223477],0
136,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,0,[0.9085379  0.02355865 0.06790344],0
137,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0,[0.539014   0.18806037 0.27292567],0
138,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,0,[0.3312838  0.2073121  0.46140411],1
139,Arm slammed by handset sales outlook,2,[0.37759554 0.25985023 0.36255428],0
140,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",2,[0.31036407 0.31375432 0.37588164],1
141,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,0,[0.48825827 0.2033873  0.3083544 ],0
142,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,2,[0.38970175 0.22864683 0.38165143],0
143,AstraZeneca's patent on asthma drug invalidated by US court,2,[0.4778445  0.22494759 0.2972079 ],0
144,$PRGN A bottom right here?,1,[0.06250166 0.16445902 0.7730393 ],1
145,Intertek swings to ÃÂ£347 mln loss on oil's slump,2,[0.12549062 0.228127   0.64638233],1
146,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,1,[0.21853669 0.27272964 0.50873363],1
147,Barclays appoints JPMorgan's Paul Compton as new COO,1,[0.23756759 0.4300743  0.33235818],2
148,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,1,[0.11438672 0.15592879 0.72968453],1
149,Tullow Oil Suspends Dividend Amid Oil Price Fall,2,[0.21567419 0.38335606 0.4009698 ],1
