,text,target,out_text,new_out
26,$DISH weakness continues again. 49.43 area resistance after last week,2,[0.01236485 0.10023569 0.88739944],0
27,GlaxoSmithKline starts hunt for successor to CEO Witty,1,[0.01445845 0.09277397 0.89276755],0
28,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",2,[0.02806027 0.15668924 0.8152505 ],0
29,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,2,[0.0128177  0.13475084 0.85243154],0
30,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,1,[0.0238552  0.16268279 0.813462  ],0
31,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,2,[0.0505393  0.34360728 0.6058534 ],0
32,$BBRY Ready for Take OFF!,0,[0.00444584 0.11801106 0.8775431 ],0
33,$ACAD under $2 today?,2,[0.02724749 0.24843132 0.7243211 ],0
34,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",0,[0.04482264 0.35281572 0.6023616 ],0
35,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0,[0.04633496 0.28529498 0.66837007],0
36,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,1,[0.02204989 0.23117176 0.7467783 ],0
37,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2,[0.02191429 0.18183614 0.7962495 ],0
38,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",0,[0.01947632 0.2410654  0.73945826],0
39,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,1,[0.01807982 0.21763808 0.76428217],0
40,$GEVO PLUNGING!  Back to $3.55.,2,[0.00786825 0.28799224 0.7041395 ],0
41,AB InBev to sell more SAB assets as seeks EU deal approval,1,[0.03477    0.39579    0.56943995],0
42,"HSBC shakes up board with two new business chiefs, three departures",1,[0.02836777 0.428208   0.54342425],0
43,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",2,[0.02411943 0.3372124  0.6386681 ],0
44,$RAD All my charts are flashing oversold.,1,[0.02857578 0.42694756 0.54447675],0
45,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,2,[0.05423113 0.46734306 0.4784258 ],0
46,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,2,[0.04455172 0.45348555 0.5019627 ],0
47,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2,[0.0287482  0.35958207 0.6116697 ],0
48,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,2,[0.16575487 0.8046481  0.02959693],1
49,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,0,[0.1854436  0.681312   0.13324432],1
50,@mugatushair Now it is time to short $TSLA,2,[0.17244498 0.67507535 0.15247968],1
51,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",2,[0.19908026 0.652759   0.14816076],1
52,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",2,[0.13183083 0.77586645 0.09230277],1
53,Legal & General share price: Finance chief to step down,2,[0.14306293 0.6919104  0.16502662],1
54,Valeant Said to Name New CEO With Pearson Still Hospitalized,1,[0.15568256 0.6487615  0.19555594],1
55,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,2,[0.15496877 0.67282504 0.17220616],1
56,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,0,[0.00615472 0.57441455 0.41943067],1
57,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",2,[0.03776565 0.5363143  0.42592004],1
58,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,2,[0.03987436 0.523194   0.43693158],1
59,"BHP Billiton posts big loss, slashes dividend",2,[0.03474638 0.5599573  0.40529627],1
60,Petrofac share price rises despite ÃÂ£30m costs on North Sea project,1,[0.03546946 0.5056772  0.45885333],1
61,U.S. Debt Lures Schroders as ECB Depresses Rates,1,[0.0294339 0.576937  0.393629 ],1
62,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",1,[0.03176539 0.5500119  0.4182227 ],1
63,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,2,[0.03025885 0.5334779  0.4362632 ],1
64,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0,[0.43660957 0.5505804  0.01281006],1
65,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0,[0.2661083  0.5729217  0.16096997],1
66,New Credit Suisse boss faces stiff challenge in Asia,2,[0.32032079 0.5666697  0.1130095 ],1
67,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,0,[0.27668625 0.602313   0.12100075],1
68,Royal Mail turnaround proving expensive in tough UK market,1,[0.24011083 0.6556435  0.10424565],1
69,"Royal Mail, Johnson Matthey lead FTSE lower",2,[0.27104786 0.5904172  0.13853492],1
70,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,1,[0.31294042 0.61158675 0.07547275],1
71,$DMND green and moving,0,[0.24893333 0.6458416  0.10522503],1
72,$REN bottoming out again.. Good time to buy,0,[0.01278816 0.19526346 0.7919484 ],0
73,Breakingviews: IAG can pay more for Aer Lingus,0,[0.03754525 0.3149002  0.6475545 ],0
74,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",1,[0.0423058  0.44581524 0.51187897],0
75,$BBRY hearing rumours of a major joint venture announcement.,0,[0.03219161 0.31805784 0.64975065],0
76,$PCLN runs into the 50sma on the acquisition news,0,[0.03680086 0.3284833  0.63471586],0
77,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,1,[0.03003982 0.34194595 0.6280142 ],0
78,$CTRP breaking out https://t.co/Z2je3rTKch,0,[0.03240007 0.3065789  0.66102105],0
79,Do it for me' trend underpins UK sales growth at Kingfisher,0,[0.02928019 0.29579163 0.67492825],0
80,CompaniesHoward Davies appointment as RBS director delayed,1,[0.22601175 0.75956446 0.01442378],1
81,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,2,[0.20739564 0.7459749  0.04662939],1
82,volatility squeeze in $AAPL. I hope it gets resolved to the upside,1,[0.20819563 0.7353746  0.05642979],1
83,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0,[0.20482495 0.7105592  0.08461593],1
84,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",2,[0.18561354 0.70238197 0.1120046 ],1
85,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",1,[0.1986174  0.6883519  0.11303072],1
86,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",1,[0.16120708 0.7313534  0.10743952],1
87,Rio Tinto CEO says iron ore market at equilibrium,1,[0.14877978 0.69674015 0.15448004],1
88,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1,[0.01356874 0.9456845  0.04074682],1
89,Deutsche Bank cuts $SBUX,2,[0.06785133 0.7359102  0.19623849],1
90,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,1,[0.10326574 0.6665078  0.23022649],1
91,Johnson Matthey profit falls but dividend rises,1,[0.07055062 0.7308594  0.19859003],1
92,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,1,[0.05740142 0.75390345 0.1886951 ],1
93,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,1,[0.07043765 0.73254496 0.19701746],1
94,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",2,[0.04187801 0.77187556 0.18624638],1
95,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",1,[0.05438927 0.76264447 0.18296626],1
96,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0,[0.0186861  0.9307426  0.05057134],1
97,Sanofi poaches AstraZeneca scientist as new research head,1,[0.0668566  0.69022846 0.2429149 ],1
98,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,1,[0.06765816 0.6880104  0.24433142],1
99,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,2,[0.06633928 0.65865004 0.27501062],1
100,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",0,[0.08765724 0.6679383  0.24440452],1
101,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,2,[0.06530898 0.7118032  0.22288784],1
102,$AMZN Going thru the roof needs a sell!,0,[0.07262864 0.7033588  0.22401257],1
103,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",2,[0.05140482 0.80097187 0.1476233 ],1
104,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0,[0.09096731 0.6189228  0.29010984],1
105,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0,[0.11212758 0.5215195  0.36635295],1
106,British American Tobacco first-half sales hurt by currency moves,2,[0.10642974 0.54820275 0.3453675 ],1
107,"Went long on this $COG, will see 70's again me thinks",0,[0.07103515 0.5962239  0.33274096],1
108,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0,[0.07606943 0.42886347 0.4950671 ],0
109,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0,[0.07879753 0.4036009  0.5176016 ],0
110,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0,[0.08075377 0.47980845 0.43943787],1
111,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,2,[0.05905424 0.52892107 0.4120247 ],1
112,CompaniesDiageo stays neutral on India boardroom turmoil,1,[0.24075897 0.7336662  0.02557484],1
113,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,0,[0.20493624 0.71958905 0.07547469],1
114,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,1,[0.27432492 0.6360751  0.08960003],1
115,US sanctions put Gazprom-Shell alliance plans in jeopardy,2,[0.21335849 0.61152285 0.1751187 ],1
116,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",2,[0.19533198 0.67895186 0.12571616],1
117,$AMZN new HOD with conviction keeping $570 on watch for Resistance.,0,[0.1662859  0.6500114  0.18370259],1
118,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,1,[0.1686549  0.64683604 0.18450902],1
119,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",1,[0.23965107 0.65351    0.10683896],1
120,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,2,[0.6579172  0.3258517  0.01623113],2
121,$TSLA weakest in todays DT watchlist,2,[0.42393088 0.48675165 0.08931749],1
122,Should You Follow Berkshire Hathaway Into Apple Stock?,1,[0.47983435 0.4442078  0.07595789],2
123,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,1,[0.37948385 0.51717556 0.10334066],1
124,Tesco share price steady as analysts weigh in on results,1,[0.36232972 0.531516   0.10615428],1
125,$tsla bad day to short,0,[0.38297337 0.5166698  0.10035683],1
126,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,1,[0.40512174 0.51374984 0.08112842],1
127,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",1,[0.45575002 0.4453013  0.09894862],2
128,$ELN longs...congrats...another HOD,0,[0.00284847 0.02378016 0.9733714 ],0
129,Glencore blames rivals for creating metals glut,2,[0.01705394 0.09273449 0.8902116 ],0
130,Barclays poised to replace Sir Mike Rake as he heads for exit,1,[0.01645877 0.09365594 0.8898853 ],0
131,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,0,[0.01329962 0.0865341  0.9001663 ],0
132,BG Group appoints new CEO one month early,1,[0.0108632  0.07050913 0.9186276 ],0
133,$mako hanging in well today. still in a basing pattern. have eyes on it,0,[0.01190299 0.06803034 0.9200666 ],0
134,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",2,[0.01619993 0.10276233 0.8810378 ],0
135,Shire to buy NPS for $5.2 billion to boost rare disease drugs,0,[0.02214719 0.11029731 0.86755556],0
136,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,0,[0.00484906 0.03801991 0.95713097],0
137,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0,[0.01328123 0.09304926 0.89366955],0
138,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,0,[0.0091219  0.06041897 0.9304591 ],0
139,Arm slammed by handset sales outlook,2,[0.01242817 0.08334945 0.9042223 ],0
140,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",2,[0.0119597  0.08323999 0.9048003 ],0
141,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,0,[0.01387069 0.07797126 0.90815806],0
142,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,2,[0.01378793 0.09573057 0.8904815 ],0
143,AstraZeneca's patent on asthma drug invalidated by US court,2,[0.0131389  0.08356917 0.9032919 ],0
144,$PRGN A bottom right here?,1,[0.12705234 0.8178342  0.05511346],1
145,Intertek swings to ÃÂ£347 mln loss on oil's slump,2,[0.13124482 0.66197544 0.20677975],1
146,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,1,[0.12562442 0.6339366  0.24043901],1
147,Barclays appoints JPMorgan's Paul Compton as new COO,1,[0.14376204 0.6573252  0.19891277],1
148,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,1,[0.11060604 0.64683294 0.24256097],1
149,Tullow Oil Suspends Dividend Amid Oil Price Fall,2,[0.11224479 0.69162333 0.19613194],1
